Attached Client List
IP Address	Name	Mac Address	Type	Expiration
192.168.0.2	unknown	E8:38:A0:1D:B3:3C	Ethernet	2024-06-14 16:07:23.00
2601:85:201:C400:85D2:E6E9:FBF4:C333	unknown	E8:38:A0:1D:B3:3C	Ethernet	0-00-00 00:00:00.00
192.168.0.4	Doriss-MBP	BC:D0:74:F4:0E:10	Wireless24	2024-06-14 15:59:41.00
2601:85:201:C400:2C0D:930B:6FFB:93DD	Doriss-MBP	BC:D0:74:F4:0E:10	Wireless24	0-00-00 00:00:00.00
192.168.0.9	unknown	1A:3C:22:05:73:46	Wireless50	2024-06-14 15:59:38.00
2601:85:201:C400:892F:2C72:C9DC:4344	unknown	1A:3C:22:05:73:46	Wireless50	0-00-00 00:00:00.00
192.168.0.7	LGwebOSTV	B0:37:95:20:E0:88	Ethernet	0-00-00 00:00:00.00
2601:85:201:C400:B237:95FF:FE20:E088	LGwebOSTV	B0:37:95:20:E0:88	Ethernet	0-00-00 00:00:00.00
192.168.0.5	unknown	66:C4:52:29:F0:C4	Wireless50	2024-06-14 15:59:53.00
2601:85:201:C400:CD9E:7632:EB09:1BBF	unknown	66:C4:52:29:F0:C4	Wireless50	0-00-00 00:00:00.00
